Year,Zip Code,Model Year,Fuel,Make,Duty,Vehicles
2018,93148,2019,Battery Electric,OTHER/UNK,Heavy,1
2018,93204,_RARE_,Battery Electric,OTHER/UNK,Heavy,7
2018,93110,2019,Battery Electric,OTHER/UNK,Heavy,1
2018,95900,2018,Battery Electric,OTHER/UNK,Heavy,1
2018,92308,2019,Battery Electric,NEWFLYER,Heavy,2
2018,93797,2019,Battery Electric,OTHER/UNK,Heavy,1
2018,93172,2019,Battery Electric,OTHER/UNK,Heavy,2
2018,95170,2019,Battery Electric,OTHER/UNK,Heavy,2
2018,90594,2019,Battery Electric,OTHER/UNK,Heavy,1
2018,95458,2019,Battery Electric,OTHER/UNK,Heavy,2
2018,95493,2018,Battery Electric,OTHER/UNK,Heavy,2
2018,94565,2019,Battery Electric,OTHER/UNK,Heavy,6
2018,91771,2019,Battery Electric,OTHER/UNK,Heavy,2
2018,94607,<2008,Battery Electric,OTHER/UNK,Heavy,5
2018,95230,_RARE_,Battery Electric,OTHER/UNK,Heavy,10
2018,94159,2019,Battery Electric,OTHER/UNK,Heavy,1
2018,94952,_RARE_,Battery Electric,OTHER/UNK,Heavy,1
2018,94592,2019,Battery Electric,OTHER/UNK,Heavy,1
2018,93284,2019,Battery Electric,OTHER/UNK,Heavy,6
2018,94606,_RARE_,Battery Electric,OTHER/UNK,Heavy,2
2018,95460,2018,Battery Electric,OTHER/UNK,Heavy,2
2018,94702,2019,Battery Electric,OTHER/UNK,Heavy,1
2018,94135,2019,Battery Electric,OTHER/UNK,Heavy,9
2018,94593,2019,Battery Electric,OTHER/UNK,Heavy,6
2018,94580,2019,Battery Electric,OTHER/UNK,Heavy,1
2018,94595,_RARE_,Battery Electric,OTHER/UNK,Heavy,7
2018,94709,2019,Battery Electric,OTHER/UNK,Heavy,1
2018,94034,_RARE_,Battery Electric,OTHER/UNK,Heavy,1
2018,93204,2019,Battery Electric,OTHER/UNK,Heavy,2
2018,93603,2018,Battery Electric,NEWFLYER,Heavy,14
2018,93813,2019,Battery Electric,OTHER/UNK,Heavy,14
2018,93640,_RARE_,Battery Electric,OTHER/UNK,Heavy,1
2018,93220,_RARE_,Battery Electric,OTHER/UNK,Heavy,4
2018,91742,2019,Battery Electric,OTHER/UNK,Heavy,1
2018,92324,2018,Battery Electric,OTHER/UNK,Heavy,1
2018,95408,2019,Battery Electric,OTHER/UNK,Heavy,1
2018,95425,_RARE_,Battery Electric,OTHER/UNK,Heavy,2
2018,95837,2019,Battery Electric,OTHER/UNK,Heavy,1
2018,93670,2018,Battery Electric,OTHER/UNK,Heavy,1
2018,95509,_RARE_,Battery Electric,OTHER/UNK,Heavy,2
2018,92587,<2008,Battery Electric,OTHER/UNK,Heavy,5
2018,93562,2019,Battery Electric,OTHER/UNK,Heavy,1
2018,95859,2019,Battery Electric,OTHER/UNK,Heavy,1
